,datetime,tweet_Id,text,Username
92,2022-03-24 22:31:41+00:00,1507123010007883784,"In his ruling, Justice Arowosegbe of @NatIndCourtNgheld that the conduct of the @EnuguStateGOV to the public primary school teachers in the State and the treatment meted out to them are clearly #discriminatory.
#HorribleBosses #toxicworkplace",CourtReporters3
93,2022-03-24 22:29:01+00:00,1507122340420857869,#HorribleBosses #BossFromHell #EvilBoss #Ebun https://t.co/fLFNCCAd8x,buvybabyboo
94,2022-03-24 22:28:35+00:00,1507122232786657294,@007dq Argh you didn’t hear what happened with MANI on #HorribleBosses lol 😂 you’d be amazed on how right I am! Nigeria is casted,estheticalibawo
95,2022-03-24 22:23:45+00:00,1507121014311985160,Companies that expect their staff to resume early and don’t expect them to have closing time are part of the issue aiding #HorribleBosses and #toxicworkplace,daarmelorlar
96,2022-03-24 22:23:36+00:00,1507120978270298115,@Rain_goddd #HorribleBosses,0fficial0mega
97,2022-03-24 22:12:54+00:00,1507118284939833347,"(Foreign News)

#asaprocky and #Rihanna steps out in a romantic way while expecting their baby girl😍.

#breakingnews #blog #Gistlover #BBB22 #BBNaija #HorribleBosses https://t.co/biHqXv2huY",ComradeGist
98,2022-03-24 21:54:29+00:00,1507113648879247360,worked for someone that was asked to recommend ushers. She brought a small group of ushers. She took about 75% of the pay without their knowledge. the last day one of the girls discovered collected her full pay and entered a phone shop and bought herself a phone #HorribleBosses,ImaobongIsrael
99,2022-03-24 21:45:01+00:00,1507111268255256583,@adaobi_ani You and me both 😀. Not cool to bd the poster child for #HorribleBosses. But I am glad this conversation is being had.,EbunOkubanjo
100,2022-03-24 21:44:13+00:00,1507111067792687115,#HorribleBosses take note!!! https://t.co/5tViLjrwfK,Geenyzeeny
101,2022-03-24 21:40:44+00:00,1507110190356865028,"After reading numerous heartbreaking tweets and listening to shocking accounts on Spaces about #horriblebosses, I think it's time to call on @LabourMinNG to update the labour laws in Nigeria. The work force is exposed to abuse with no laws to protect them. It needs to stop.",aigbeme
102,2022-03-24 21:38:01+00:00,1507109505154392064,"Need a promotional product video ad for your brand ? Send a DM and let's talk. #Gistlover #HorribleBosses ""Asake"" ""Peter Obi"" #ABridgertonAffair https://t.co/e9sIWKfhRO",mooyosquare
103,2022-03-24 21:29:33+00:00,1507107375316193294,The tables need to be flipped 🫢😂#HorribleBosses #ToxicWorkplaces https://t.co/jwlkQXNiRg,Itsbukimusic
104,2022-03-24 21:17:47+00:00,1507104413340647442,"(Comedy)

Two mcm seen in the #wwe act..😂😂

(Kindly follow us now for daily updates, news, gist, comedy and gossips)

#gistlover #wwe #asake #HorribleBosses #breakingnews https://t.co/R2A4nEQF2C",ComradeGist
